SelectorDIC_features_norm>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

**** WER = 0.6235955056179775
Total correct: 67 out of 178
Video  Recognized                                                    Correct
=====================================================================================================
    2: *MARY WRITE *ARRIVE                                           JOHN WRITE HOMEWORK
    7: JOHN *NEW *JOHN CAN                                           JOHN CAN GO CAN
   12: *SHOULD *HAVE *GO1 CAN                                        JOHN CAN GO CAN
   21: *LIKE *NEW *HAVE *IX-1P *CAR *BLAME *CHICKEN *WRITE           JOHN FISH WONT EAT BUT CAN EAT CHICKEN
   25: *IX LIKE *LIKE *LIKE IX                                       JOHN LIKE IX IX IX
   28: *ANN LIKE *ANN *LIKE *ANN                                     JOHN LIKE IX IX IX
   30: *SHOOT LIKE *LOVE *LIKE *MARY                                 JOHN LIKE IX IX IX
   36: *LEAVE *NOT *YESTERDAY *VISIT LIKE *JOHN                      MARY VEGETABLE KNOW IX LIKE CORN1
   40: JOHN *LEAVE *FUTURE1 *VEGETABLE LOVE                          JOHN IX THINK MARY LOVE
   43: JOHN *SHOULD BUY HOUSE                                        JOHN MUST BUY HOUSE
   50: *FRANK *SEE *ARRIVE CAR *CAR                                  FUTURE JOHN BUY CAR SHOULD
   54: JOHN SHOULD *FUTURE *STUDENT HOUSE                            JOHN SHOULD NOT BUY HOUSE
   57: *MARY *MARY *MARY MARY                                        JOHN DECIDE VISIT MARY
   67: *IX-1P FUTURE *JOHN *ARRIVE HOUSE                             JOHN FUTURE NOT BUY HOUSE
   71: JOHN WILL VISIT MARY                                          JOHN WILL VISIT MARY
   74: *WOMAN *VISIT VISIT *FRANK                                    JOHN NOT VISIT MARY
   77: *IX BLAME MARY                                                ANN BLAME MARY
   84: *IX *ARRIVE *NEW BOOK                                         IX-1P FIND SOMETHING-ONE BOOK
   89: *FUTURE *THROW *JOHN *JOHN *WOMAN *BOOK *BREAK-DOWN           JOHN IX GIVE MAN IX NEW COAT
   90: *SELF *GIVE1 IX *IX WOMAN *CHOCOLATE                          JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
   92: JOHN *GIVE1 IX *IX WOMAN BOOK                                 JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
  100: POSS NEW CAR BREAK-DOWN                                       POSS NEW CAR BREAK-DOWN
  105: *WHO *SEE                                                     JOHN LEG
  107: *TELL *IX *BOX *LIKE *JANA                                    JOHN POSS FRIEND HAVE CANDY
  108: *LOVE *HOMEWORK                                               WOMAN ARRIVE
  113: IX CAR *IX SUE *HAVE                                          IX CAR BLUE SUE BUY
  119: *VEGETABLE *BUY1 IX CAR *GO                                   SUE BUY IX CAR BLUE
  122: JOHN *HOUSE *COAT                                             JOHN READ BOOK
  139: JOHN *BUY1 *CAR YESTERDAY BOOK                                JOHN BUY WHAT YESTERDAY BOOK
  142: JOHN BUY YESTERDAY WHAT BOOK                                  JOHN BUY YESTERDAY WHAT BOOK
  158: LOVE *MARY *CORN                                              LOVE JOHN WHO
  167: JOHN *JOHN *SAY-1P LOVE MARY                                  JOHN IX SAY LOVE MARY
  171: *SHOOT *JOHN BLAME                                            JOHN MARY BLAME
  174: *NEW *GIVE1 GIVE1 *WHO *CAR                                   PEOPLE GROUP GIVE1 JANA TOY
  181: JOHN *BOX                                                     JOHN ARRIVE
  184: *IX *IX *GIVE1 TEACHER APPLE                                  ALL BOY GIVE TEACHER APPLE
  189: *JANA *SEE *PREFER *ARRIVE                                    JOHN GIVE GIRL BOX
  193: JOHN *SEE *YESTERDAY BOX                                      JOHN GIVE GIRL BOX
  199: *JOHN CHOCOLATE *JOHN                                         LIKE CHOCOLATE WHO
  201: JOHN *THINK *WOMAN *WOMAN *STUDENT HOUSE                      JOHN TELL MARY IX-1P BUY HOUSE
